,Tの数
2068,29.0
2069,29.0
2070,26.0
2071,26.0
2072,25.0
2073,28.0
2074,29.0
2075,21.0
2076,28.0
2077,23.0
2078,23.0
2079,25.0
2080,25.0
2081,28.0
2082,29.0
2083,27.0
2084,24.0
2085,27.0
2086,25.0
2087,25.0
2088,28.0
2089,27.0
2090,27.0
2091,26.0
2092,21.0
2093,29.0
2094,26.0
2095,26.0
2096,29.0
2097,23.0
2098,28.0
2099,25.0
2100,29.0
2101,29.0
2102,27.0
2103,28.0
2104,30.0
2105,27.0
2106,31.0
2107,26.0
2108,28.0
2109,27.0
2110,25.0
2111,32.0
2112,25.0
2113,31.0
2114,26.0
2115,28.0
2116,25.0
2117,24.0
2118,26.0
2119,28.0
2120,29.0
2121,28.0
2122,28.0
2123,29.0
2124,27.0
2125,33.0
2126,30.0
2127,24.0
2128,23.0
2129,33.0
2130,27.0
2131,34.0
2132,28.0
2133,25.0
2134,23.0
2135,28.0
2136,28.0
2137,27.0
